day,A,ABC,ABMD,ABT
02/05/2019,78.19999695,77.05999756,264.769989,78.77999878
03/05/2019,79.29000092,79.13999939,271.75,78.69000244
06/05/2019,79.34999847,78.30999756,268.9500122,79.06999969
07/05/2019,76.66999817,77.45999908,261.980011,76.91000366
08/05/2019,76.61000061,78.72000122,260.269989,76.22000122
09/05/2019,77,79.18000031,261.9400024,76.41999817
10/05/2019,77.09999847,77.47000122,258.9200134,76.44999695
13/05/2019,73.83999634,75.68000031,252.3699951,75.5
14/05/2019,76.01000214,76.69000244,256.6900024,76.02999878
15/05/2019,67.63999939,77.86000061,259.6799927,76.51000214
16/05/2019,69.30000305,77.58999634,262.1400146,76.59999847
17/05/2019,69.11000061,77.73000336,260.480011,75.97000122
20/05/2019,68.93000031,79.23000336,252.5800018,75.76999664
21/05/2019,68.31999969,80.56999969,260.3399963,76.02999878
22/05/2019,67.97000122,81.80000305,265.480011,76.26000214
23/05/2019,67.69999695,80.44000244,262.6400146,75.62999725
24/05/2019,68.36000061,80.68000031,270.3900146,76.98000336
28/05/2019,67.08000183,80.88999939,269.3999939,75.70999908
29/05/2019,67.30000305,78.34999847,260.3699951,75.66999817
30/05/2019,66.88999939,78.31999969,266.3900146,76.51999664
31/05/2019,67.05000305,77.86000061,261.9200134,76.12999725
03/06/2019,66.98999786,80.37000275,261.4299927,75.70999908
04/06/2019,67.94999695,82.20999908,267.0599976,77.45999908
05/06/2019,68.34999847,81.65000153,268.7999878,78.69000244
06/06/2019,69.16000366,81.75,269.1900024,80.08999634
07/06/2019,69.51999664,83.48000336,267.8699951,80.73999786
10/06/2019,70.29000092,84.76999664,272.4299927,81.26999664
11/06/2019,70.08999634,84.72000122,262.0299988,81.12000275
12/06/2019,70.29000092,85.37999725,254.5399933,81.94999695
13/06/2019,70.30000305,86.44000244,255.5299988,82.29000092
14/06/2019,69.97000122,85.05000305,250.9600067,82.22000122
17/06/2019,70.29000092,85.33999634,256.1499939,82.05000305
18/06/2019,71.91000366,85.44999695,256.4700012,83.41999817
19/06/2019,72.65000153,86.05999756,256.2999878,84.33000183
20/06/2019,73.31999969,85.55999756,260.3299866,84.94000244
21/06/2019,73.33999634,84.45999908,256.0400085,85
24/06/2019,73.13999939,83.51999664,253.1699982,84.70999908
25/06/2019,72.51000214,84.27999878,257.0599976,84.23999786
26/06/2019,72.13999939,83.77999878,251.6199951,82.95999908
27/06/2019,73.19000244,85.62999725,254.9299927,83.69000244
28/06/2019,74.66999817,85.26000214,260.4899902,84.09999847
01/07/2019,75.77999878,85.58999634,265.019989,84.48999786
02/07/2019,75.61000061,85.45999908,261.4899902,84.94999695
03/07/2019,76.80000305,87.58999634,261.3299866,85.63999939
05/07/2019,75.75,87.97000122,261.4700012,85.41999817
08/07/2019,73.83999634,87.83000183,257.7799988,85.08999634
09/07/2019,73.44999695,88.23000336,257.2999878,85.26999664
10/07/2019,73.37000275,89.30000305,255.8099976,85.37999725
11/07/2019,71.73999786,90.52999878,266.0899963,85.76999664
12/07/2019,71.65000153,89.84999847,262.6900024,83.91999817
15/07/2019,70.55000305,89.93000031,260.5799866,83.80999756
16/07/2019,69.94999695,89,253.75,83.16000366
17/07/2019,69.58999634,85.45999908,260.0599976,85.76000214
18/07/2019,70.12999725,86.76000214,262.769989,87.76000214
19/07/2019,68.69999695,85.51999664,260.4700012,87.48999786
22/07/2019,69.08999634,85.05000305,263.9700012,88.06999969
23/07/2019,69.88999939,85.80999756,264.6700134,88.73999786
24/07/2019,69.58000183,86.88999939,275.9400024,88.58999634
25/07/2019,69.84999847,85.93000031,272.2099915,88
26/07/2019,69.5,86.12000275,272.6600037,87.75
29/07/2019,70.37000275,87.23000336,275.9299927,88.55000305
30/07/2019,70.15000153,88.72000122,279.230011,88.30999756
31/07/2019,69.41000366,87.15000153,278.5599976,87.09999847
01/08/2019,69.20999908,91.69999695,204.8699951,86.08000183
02/08/2019,68.08000183,90.44000244,200.6199951,85.81999969
05/08/2019,65.86000061,88.69999695,204.5299988,83.16000366
06/08/2019,67.66000366,84.11000061,200.4799957,84.86000061
07/08/2019,67.97000122,85.84999847,189.9299927,84.59999847
08/08/2019,69.48999786,87.88999939,191.6999969,85.55999756
09/08/2019,68.63999939,87.44999695,191,86.62000275
12/08/2019,66.62000275,87.37999725,191.7200012,84.63500214
13/08/2019,67.63999939,89.26000214,197.1499939,86.88999939
14/08/2019,65.58999634,86.33999634,190.1300049,83.94000244
15/08/2019,69.58999634,85.97000122,192.0599976,83.94000244
16/08/2019,71.08000183,87.33999634,193.0099945,84.77999878
19/08/2019,71.75,87.75,192.3099976,85.55999756
20/08/2019,71.12000275,86.30000305,192.6300049,84.54000092
21/08/2019,72.19999695,86.31999969,195.8399963,84.90000153
22/08/2019,71.73999786,85.55000305,195.4400024,84.37000275
23/08/2019,69.55000305,83.54000092,189.5899963,81.93000031
26/08/2019,69.63999939,85.90000153,190.4400024,83.12000275
27/08/2019,69.48000336,81.27999878,190.0599976,83.65000153
28/08/2019,69.94000244,81.01000214,191.1999969,84.22000122
29/08/2019,70.69999695,81.91000366,192.0099945,84.81999969
30/08/2019,71.11000061,82.26999664,193.0700073,85.31999969
03/09/2019,70.41000366,84.04000092,183.6399994,84.05999756
04/09/2019,70.86000061,85.18000031,183.3800049,84.22000122
05/09/2019,73.51999664,86.04000092,190.25,85.90000153
06/09/2019,74.27999878,86.31999969,189.4299927,86.04000092
09/09/2019,74.18000031,87.12999725,186.8099976,84.22000122
10/09/2019,74.76999664,85.87999725,191.8200073,83.20999908
11/09/2019,76.98999786,87.79000092,191.0700073,84.51999664
12/09/2019,77.56999969,84.63999939,188.0200043,85.20999908
13/09/2019,77.90000153,83.41999817,186.4100037,84.26999664
16/09/2019,77.15000153,83.79000092,190.5399933,83.36000061
17/09/2019,76.40000153,83.18000031,190.5399933,83.58000183
18/09/2019,77.56999969,83,190.6699982,83.63999939
